episode,reward
0,-451
1,-530
2,-530
3,-431
4,-530
5,-530
6,-431
7,-530
8,-530
9,-416
10,-530
11,-440
12,-431
13,-530
14,-431
15,-431
16,-451
17,-515
18,-425
19,-530
20,-530
21,-431
22,-515
23,-530
24,-431
25,-515
26,-451
27,-515
28,-530
29,-431
30,-530
31,-431
32,-431
33,-451
34,-431
35,-530
36,-530
37,-451
38,-431
39,-416
40,-530
41,-416
42,-530
43,-530
44,-515
45,-451
46,-451
47,-431
48,-530
49,-431
50,-530
51,-530
52,-431
53,-451
54,-530
55,-431
56,-530
57,-530
58,-451
59,-431
60,-530
61,-451
62,-451
63,-530
64,-431
65,-451
66,-431
67,-451
68,-431
69,-451
70,-515
71,-440
72,-431
73,-451
74,-530
75,-431
76,-431
77,-451
78,-530
79,-431
80,-515
81,-530
82,-530
83,-530
84,-530
85,-431
86,-416
87,-451
88,-530
89,-431
90,-530
91,-451
92,-530
93,-530
94,-530
95,-416
96,-451
97,-530
98,-530
99,-530
100,-530
101,-431
102,-530
103,-431
104,-515
105,-515
106,-530
107,-431
108,-440
109,-431
110,-431
111,-530
112,-451
113,-530
114,-425
115,-431
116,-431
117,-431
118,-550
119,-530
120,-515
121,-530
122,-451
123,-440
124,-530
125,-431
126,-530
127,-451
128,-431
129,-530
130,-530
131,-440
132,-550
133,-530
134,-431
135,-530
136,-440
137,-431
138,-451
139,-530
140,-515
141,-530
142,-530
143,-515
144,-431
145,-451
146,-530
147,-515
148,-416
149,-431
150,-515
151,-451
152,-530
153,-530
154,-431
155,-451
156,-530
157,-431
158,-530
159,-530
160,-431
161,-451
162,-440
163,-530
164,-431
165,-530
166,-530
167,-530
168,-530
169,-530
170,-431
171,-530
172,-431
173,-530
174,-530
175,-431
176,-530
177,-530
178,-530
179,-530
180,-431
181,-530
182,-530
183,-451
184,-530
185,-416
186,-431
187,-530
188,-530
189,-440
190,-431
191,-431
192,-515
193,-451
194,-451
195,-530
196,-431
197,-431
198,-416
199,-530
200,-431
201,-451
202,-431
203,-530
204,-431
205,-530
206,-460
207,-530
208,-515
209,-530
210,-530
211,-530
212,-431
213,-530
214,-451
215,-431
216,-530
217,-530
218,-530
219,-451
220,-431
221,-451
222,-431
223,-530
224,-530
225,-530
226,-530
227,-431
228,-530
229,-530
230,-530
231,-530
232,-451
233,-515
234,-431
235,-530
236,-530
237,-530
238,-451
239,-425
240,-431
241,-530
242,-431
243,-530
244,-431
245,-416
246,-550
247,-530
248,-530
249,-530
250,-530
251,-530
252,-530
253,-530
254,-530
255,-416
256,-530
257,-451
258,-451
259,-431
260,-530
261,-530
262,-530
263,-530
264,-530
265,-530
266,-515
267,-431
268,-550
269,-460
270,-550
271,-515
272,-431
273,-431
274,-530
275,-530
276,-530
277,-515
278,-530
279,-416
280,-530
281,-451
282,-515
283,-530
284,-515
285,-530
286,-530
287,-530
288,-530
289,-451
290,-530
291,-451
292,-530
293,-431
294,-530
295,-515
296,-530
297,-530
298,-530
299,-451
300,-440
301,-530
302,-530
303,-530
304,-431
305,-530
306,-530
307,-515
308,-530
309,-530
310,-530
311,-515
312,-431
313,-550
314,-550
315,-431
316,-431
317,-431
318,-451
319,-451
320,-530
321,-431
322,-530
323,-530
324,-530
325,-530
326,-515
327,-431
328,-431
329,-530
330,-515
331,-530
332,-530
333,-431
334,-530
335,-530
336,-440
337,-515
338,-515
339,-530
340,-550
341,-431
342,-451
343,-530
344,-431
345,-530
346,-451
347,-530
348,-431
349,-550
350,-530
351,-530
352,-451
353,-530
354,-431
355,-515
356,-451
357,-515
358,-530
359,-530
360,-451
361,-530
362,-530
363,-451
364,-530
365,-530
366,-550
367,-550
368,-451
369,-451
370,-530
371,-530
372,-530
373,-515
374,-451
375,-530
376,-451
377,-530
378,-515
379,-451
380,-451
381,-431
382,-451
383,-515
384,-550
385,-515
386,-530
387,-451
388,-530
389,-451
390,-530
391,-431
392,-431
393,-530
394,-530
395,-530
396,-530
397,-530
398,-431
399,-530
400,-530
401,-431
402,-440
403,-431
404,-530
405,-515
406,-431
407,-530
408,-530
409,-515
410,-451
411,-431
412,-530
413,-530
414,-530
415,-431
416,-530
417,-530
418,-431
419,-431
420,-530
421,-530
422,-451
423,-530
424,-451
425,-550
426,-515
427,-431
428,-530
429,-451
430,-440
431,-515
432,-530
433,-530
434,-451
435,-431
436,-451
437,-451
438,-530
439,-451
440,-530
441,-530
442,-530
443,-530
444,-431
445,-530
446,-451
447,-451
448,-416
449,-451
450,-530
451,-550
452,-440
453,-451
454,-416
455,-530
456,-530
457,-416
458,-431
459,-515
460,-530
461,-431
462,-431
463,-440
464,-530
465,-425
466,-431
467,-451
468,-530
469,-440
470,-451
471,-431
472,-530
473,-530
474,-530
475,-451
476,-451
477,-530
478,-550
479,-440
480,-530
481,-530
482,-451
483,-515
484,-550
485,-431
486,-451
487,-530
488,-515
489,-530
490,-530
491,-515
492,-530
493,-530
494,-530
495,-530
496,-530
497,-530
498,-530
499,-431
500,-431
