round,step,reward
1,1,0
1,2,-1
1,3,-1
1,4,-1
1,5,-1
1,6,-5
1,7,-1
1,8,-5
1,9,-5
1,10,-5
1,11,-5
1,12,4
1,13,-35
1,14,-20
1,15,-20
1,16,-16
1,17,-35
1,18,-20
1,19,-20
1,20,9
1,21,-5
1,22,0
1,23,-5
1,24,-5
1,25,0
1,26,-5
1,27,-5
1,28,25
2,1,-5
2,2,-21
2,3,-35
2,4,-20
2,5,-20
2,6,-20
2,7,-20
2,8,-16
2,9,-20
2,10,-35
2,11,-35
2,12,-20
2,13,-20
2,14,-20
2,15,-35
2,16,-20
2,17,-5
3,1,-5
3,2,-21
3,3,-16
3,4,-20
3,5,-20
3,6,-35
3,7,-20
3,8,-20
3,9,-20
3,10,-35
3,11,-35
3,12,-20
3,13,-20
3,14,-20
3,15,-20
3,16,-20
3,17,-5
4,1,-1
4,2,-5
4,3,-5
4,4,4
4,5,-16
4,6,-20
4,7,-20
4,8,-20
4,9,-20
4,10,-35
4,11,-20
4,12,-35
4,13,-35
4,14,-20
4,15,-20
4,16,-20
4,17,-20
4,18,-20
4,19,-20
5,1,0
5,2,0
5,3,0
5,4,-1
5,5,0
5,6,-1
5,7,-5
5,8,0
5,9,-1
5,10,-5
5,11,-1
5,12,-1
5,13,-1
5,14,-1
5,15,-5
5,16,-1
5,17,-1
5,18,-5
5,19,-5
5,20,-5
5,21,-1
5,22,0
5,23,-21
5,24,-20
5,25,-16
5,26,-20
5,27,-20
5,28,-20
5,29,-35
5,30,-20
5,31,-20
5,32,-20
5,33,-20
5,34,-35
5,35,-20
5,36,-20
5,37,-35
5,38,-5
6,1,-5
6,2,-1
6,3,4
6,4,-35
6,5,-16
6,6,-20
6,7,-20
6,8,-20
6,9,9
6,10,0
6,11,-5
6,12,-21
6,13,-20
6,14,-20
6,15,-20
6,16,-20
6,17,-20
6,18,-20
7,1,-1
7,2,0
7,3,-1
7,4,-1
7,5,4
7,6,-20
7,7,-35
7,8,-16
7,9,-35
7,10,-35
7,11,9
7,12,0
7,13,-5
7,14,-21
7,15,9
7,16,0
7,17,-5
7,18,-5
7,19,-5
7,20,-5
7,21,25
7,22,-5
7,23,-5
7,24,0
7,25,0
7,26,0
7,27,-5
7,28,-5
7,29,-5
7,30,4
7,31,-35
7,32,-20
7,33,-20
7,34,-20
7,35,-20
7,36,-16
7,37,-20
7,38,-35
7,39,-35
7,40,-20
7,41,-20
7,42,-20
7,43,-20
7,44,-35
7,45,-5
8,1,-1
8,2,-1
8,3,-5
8,4,-5
8,5,-5
8,6,0
8,7,4
8,8,-35
8,9,-16
8,10,-20
8,11,-35
8,12,-20
8,13,-35
8,14,-16
8,15,9
8,16,-21
8,17,-35
8,18,-35
8,19,-20
8,20,-20
8,21,-20
8,22,-5
9,1,-1
9,2,4
9,3,-20
9,4,-20
9,5,-20
9,6,-20
9,7,-20
9,8,-20
9,9,-35
9,10,-20
9,11,-16
9,12,-20
9,13,-20
9,14,-20
9,15,-20
9,16,9
9,17,-5
10,1,-21
10,2,-16
10,3,-20
10,4,-20
10,5,-20
10,6,-20
10,7,-20
10,8,-20
10,9,-20
10,10,-35
10,11,-20
10,12,-20
10,13,-20
10,14,-20
10,15,-20
10,16,-5
